"Timestamp","What is your main occupation?","Select main country or region of your workplace in past 5 years. [among the countries in Top500 list as of Nov. 2018. If you cannot find your country or region, please specify.]","Rate your overall programming skill (non-MPI programs):","Rate your MPI programming skill:","What programming language(s) do you use most often?","How long have you been writing computer programs (incl. non-MPI programs)?","How long have you been writing MPI programs?","Which fields are you mostly working in?","What is your major role at your place of work?","Have you ever read the MPI standard specification document?","How did you learn MPI?","Which MPI book(s) have you read?","Which MPI implementations do you use?","Why did you choose the MPI implementation(s)? [Select most suitable one]","How do you check MPI specifications when you are writing MPI programs?","What is the most difficult part of writing an MPI program?","Which MPI features have you never heard of?","What aspects of the MPI standard do you use in your program in its current form?","Which MPI thread support are you using?","What are your obstacles to mastering MPI?","When you call an MPI routine, how often do you check the error code of the MPI routine  (excepting MPI-IO)?","In most of your programs, do you pack MPI function calls into their own file or files to have your own abstraction layer for communication?","Have you ever written MPI+”X” programs? If so, select all that apply.","Is there any room for performance tuning in your MPI programs? Select most suitable one.","What, if any, alternatives are you investigating to indirectly call MPI or another communication layer by using another parallel language/library?","If there were one communication aspect which is not enough in the current MPI could improve the performance of your application, what would you prioritize? Or is MPI providing all the communication semantics required by your application? If not, what is missing?","Is MPI providing all the communication semantics required by your application? If not, what is missing?","What MPI feature(s) are NOT useful for you application?","Do you think the MPI standard should maintain backward compatibility?","In the tradeoff between code portability and performance, which is more or less important for you to write MPI programs? [""1"" means portability is the most important and ""3"" means both are equally important.]"
"2019/02/17 1:10:36 AM AST","Governmental institute","Japan","5","3","Fortran 90 or newer;Ruby","more than 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","No, and I will not read it.","I read articles found on Internet.","","MPICH;Open MPI;Intel MPI","I have no special reason.","I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation;MPI with OpenMP (or multithread);PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;Persistent communications","I do not know or I do not care.","","Sometimes","Yes, to minimize the changes of communication API.","OpenMP","I think there is room but I do not know how to tune it.","A Domain Specific Language (DSL).","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","","API should be clearly versioned.","4"
"2019/02/17 1:14:06 AM AST","Hardware vendor","United States","5","6","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);Numerical application and/or library","Research and development of application(s);Research and development on system software (OS and/or runtime library);Debugging MPI programs","I read all.","I read the MPI standard document.;I read code.","Parallel Programming with MPI;Using MPI;MPI: The Complete Reference","MPICH;Open MPI;Intel MPI;Cray MPI","I am familiar with it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).;I know almost all MPI routines.","Domain decomposition","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread);PMPI interface","MPI_THREAD_FUNNELED;MPI_THREAD_MULTIPLE","Open-MPI is routinely buggy and prevents me from using MPI 3.0 as specified","I rely on the default ‘Errors abort’ error handling","Yes, to minimize the changes of communication API.","OpenMP;Pthread","No, my MPI programs are well-tuned.","A framework or library using MPI.;A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).;Low-level communication layer provided by vendor (Verbs, DCMF, ...).","Asynchronous progress","Good integration with modern C++, including coroutines/fibers/async/future as well as object (de)serialization","Dynamic process creation","Yes, compatibility is very important for me.","3"
"2019/02/17 1:17:08 AM AST","College/University","Japan","5","6","C/C++;Fortran 90 or newer","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);AI (Deep Learning)","Performance tuning of MPI program(s)","","I read the MPI standard document.","Parallel Programming with MPI","Open MPI;MVAPICH;Intel MPI","I am familiar with it.","I read online documents (such as man pages).","Debugging","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread);PMPI interface","MPI_THREAD_FUNNELED;MPI_THREAD_MULTIPLE","I have no obstacles.;Too many routines.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;OpenACC;CUDA","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.;A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Multi-threading support","Endpoints (multi-thread, sessions);Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Dynamic process creation","I prefer to have new API for better performance.","3"
"2019/02/17 5:07:14 AM AST","Software vendor","France","5","4","C/C++;Perl","between 5 and 10 years","between 2 and 5 years","System software development (OS, runtime library, communication library, etc.);Parallel language (incl. domain specific language);Tool development (performance tuning, debugging, etc.)","Research and development on system software (OS and/or runtime library);Research and development software tool(s)","I read only the chapters of interest for my work.","I read the MPI standard document.","I have never read any MPI books","MPICH;Open MPI;MPC MPI","I am familiar with it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Domain decomposition","Dynamic process creation","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;Persistent communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED;MPI_THREAD_SERIALIZED;MPI_THREAD_MULTIPLE","Too many routines.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;Pthread","Yes, I know there is room for tuning but I do not have enough resources to do that.","A Domain Specific Language (DSL).;Low-level communication layer provided by vendor (Verbs, DCMF, ...).","Multi-threading support","Latency hiding (including asynchronous completion);Endpoints (multi-thread, sessions);Resilience (fault tolerance)","Datatypes","API should be clearly versioned.","4"
"2019/02/17 12:58:58 PM AST","College/University","Brazil","6","6","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer;Java;Python","between 5 and 10 years","between 5 and 10 years","System software development (OS, runtime library, communication library, etc.);Parallel language (incl. domain specific language);Numerical application and/or library;Image processing;Visualization","Research and development of application(s);Research and development on system software (OS and/or runtime library);Research and development software tool(s);Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","I read all.","I read the MPI standard document.;I read book(s).;I had lecture(s) at school.","Parallel Programming with MPI;Using MPI","Open MPI;HPE MPI","I have no special reason.","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).","Finding appropriate MPI routines","Point-to-point communications;Collective communications","Point-to-point communications;Collective communications;MPI datatypes","MPI_THREAD_MULTIPLE","Too many routines.","Always","Yes, to minimize the changes of communication API.","OpenMP;Pthread","","A framework or library using MPI.","Latency","Latency hiding (including asynchronous completion);Endpoints (multi-thread, sessions);Resilience (fault tolerance)","","","5"
"2019/02/17 1:03:44 PM AST","Hardware vendor","United States","4","4","C/C++;Fortran (older one than Fortran 90)","between 5 and 10 years","between 2 and 5 years","System software development (OS, runtime library, communication library, etc.);Numerical application and/or library","Research and development on system software (OS and/or runtime library)","I read only the chapters of interest for my work.","I read the MPI standard document.","I have never read any MPI books","MPICH;MVAPICH;Cray MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED;MPI_THREAD_SERIALIZED;MPI_THREAD_MULTIPLE","I have no obstacles.","Sometimes","Yes, to minimize the changes of communication API.","OpenMP;Pthread","I have no chance to investigate.","A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Message injection rate","Latency hiding (including asynchronous completion);Endpoints (multi-thread, sessions);Resilience (fault tolerance)","Dynamic process creation","Yes, compatibility is very important for me.","4"
"2019/02/17 1:58:34 PM AST","College/University","Italy","6","6","C/C++;Python","more than 10 years","more than 10 years","Numerical application and/or library;AI (Deep Learning);Big data;Workflow and/or In-situ","Teaching at MSc and PhD level, research on parallel and distributed computing","I read most of it.","I read the MPI standard document.;I read book(s).;Other lectures or tutorials (workplace, conference).","Parallel Programming with MPI;Using MPI;Parallel Programming in C with MPI and OpenMP;MPI: The Complete Reference;Other volumes of MPI: the complete reference","MPICH;Open MPI;Intel MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I search the Internet (Google / Stack Overflow).;I know almost all MPI routines.","Other","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;Dynamic process creation;Persistent communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE","I have no obstacles.","Always","No, MPI calls are scattered in my programs.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","MPI is providing all the communication semantics required by my application","There are no unnecessary features","Yes, compatibility is very important for me.","3"
"2019/02/17 3:12:24 PM AST","Governmental institute","United States","6","4","Fortran (older one than Fortran 90);Fortran 90 or newer","more than 10 years","more than 10 years","Numerical application and/or library;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","On the job training","Using MPI","Intel MPI;HPE MPI","I am familiar with it.","I read online documents (such as man pages).","Domain decomposition","Persistent communication","Point-to-point communications;Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_MULTIPLE","Too many routines.","Never","No, MPI calls are scattered in my programs.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Message injection rate","Resilience (fault tolerance);Another API which is easier and/or simpler to use","Process topologies;Dynamic process creation","Yes, compatibility is very important for me.","3"
"2019/02/17 3:26:38 PM AST","Governmental institute","United States","5","5","C/C++;Python","more than 10 years","between 5 and 10 years","System software development (OS, runtime library, communication library, etc.);AI (Deep Learning)","Research and development on system software (OS and/or runtime library);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read book(s).;I read articles found on Internet.","I have never read any MPI books","Open MPI","I was said to use it.","I read online documents (such as man pages).","Domain decomposition","PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);Dynamic process creation;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE","Too many routines.;No appropriate lecture / book / info.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP","I do not have (know) tools to find performance bottlenecks.","A framework or library using MPI.","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Endpoints (multi-thread, sessions);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Error handlers","API should be clearly versioned.","4"
"2019/02/17 3:41:03 PM AST","College/University","Brazil","5","4","C/C++;Python","between 5 and 10 years","between 2 and 5 years","System software development (OS, runtime library, communication library, etc.);Workflow and/or In-situ;Tool development (performance tuning, debugging, etc.);I/O","Research and development on system software (OS and/or runtime library);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read book(s).;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","","MPICH;Open MPI;Intel MPI","I like to use it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Performance tuning","One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","I have no obstacles.","Sometimes","No, my program is too small to do that.","OpenMP;Pthread","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Latency hiding (including asynchronous completion);Endpoints (multi-thread, sessions);Resilience (fault tolerance)","There are no unnecessary features","I prefer to have new API for better performance.","4"
"2019/02/17 4:55:01 PM AST","College/University","Japan","4","5","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.)","Research and development on system software (OS and/or runtime library);Performance tuning of MPI program(s)","","I read book(s).;I read articles found on Internet.","Parallel Programming with MPI;Using MPI;Parallel Programming in C with MPI and OpenMP","Open MPI;MVAPICH;Intel MPI;Fujistu MPI","I have no special reason.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","","Point-to-point communications;Collective communications;One-sided communications;MPI with OpenMP (or multithread)","MPI_THREAD_FUNNELED;MPI_THREAD_MULTIPLE","I have no obstacles.","I rely on the default ‘Errors abort’ error handling","No, MPI calls are scattered in my programs.","OpenMP;Pthread","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","Datatypes;Dynamic process creation","Yes, compatibility is very important for me.","4"
"2019/02/17 8:03:12 PM AST","Private research institute","Japan","5","4","C/C++;Fortran 90 or newer","more than 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","Other lectures or tutorials (workplace, conference).","MPI: The Complete Reference","Open MPI;Intel MPI;Fujistu MPI","I was said to use it.","I read the MPI Standard document (web/book).;I search the Internet (Google / Stack Overflow).","Algorithm design","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);Dynamic process creation;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED","Too many routines.","I rely on the default ‘Errors abort’ error handling","Yes, to minimize the changes of communication API.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","One-sided communication","Yes, compatibility is very important for me.","2"
