,Other,Internet,"Other, Internet",School,"Standard, Other","School, Internet","School, Other, Internet","Standard, Other, Internet","Books, Internet",Standard,Books,etc.
"overall
(847 / 847)",7.910271546635183,7.43801652892562,6.493506493506493,4.7225501770956315,4.7225501770956315,4.250295159386068,4.014167650531287,3.659976387249114,3.3057851239669422,3.187721369539551,3.0696576151121606,47.22550177095624
"FR
(124 / 847)",8.870967741935484,8.064516129032258,5.64516129032258,6.451612903225806,6.451612903225806,4.032258064516129,7.258064516129033,1.6129032258064515,3.225806451612903,2.4193548387096775,2.4193548387096775,43.54838709677417
"GR
(158 / 847)",11.39240506329114,6.962025316455696,9.49367088607595,3.1645569620253164,5.69620253164557,3.1645569620253164,2.5316455696202533,10.126582278481013,3.1645569620253164,2.5316455696202533,0.6329113924050633,41.13924050632911
"IT
(57 / 847)",17.543859649122805,7.017543859649122,8.771929824561402,12.280701754385964,7.017543859649122,0.0,5.263157894736842,1.7543859649122806,3.508771929824561,3.508771929824561,0.0,33.33333333333333
"UK
(66 / 847)",12.121212121212121,3.0303030303030303,7.575757575757576,3.0303030303030303,1.5151515151515151,6.0606060606060606,6.0606060606060606,4.545454545454546,4.545454545454546,0.0,1.5151515151515151,50.00000000000001
"eu
(144 / 847)",4.861111111111112,5.555555555555555,4.166666666666666,6.944444444444445,3.4722222222222223,4.861111111111112,4.166666666666666,2.7777777777777777,2.083333333333333,2.7777777777777777,0.6944444444444444,57.63888888888885
"JP
(64 / 847)",3.125,4.6875,7.8125,6.25,0.0,0.0,4.6875,3.125,4.6875,14.0625,7.8125,43.75
"RU
(94 / 847)",2.127659574468085,7.446808510638298,7.446808510638298,2.127659574468085,8.51063829787234,8.51063829787234,4.25531914893617,1.0638297872340425,1.0638297872340425,4.25531914893617,3.1914893617021276,49.999999999999986
"US
(57 / 847)",5.263157894736842,1.7543859649122806,3.508771929824561,1.7543859649122806,3.508771929824561,5.263157894736842,0.0,0.0,3.508771929824561,1.7543859649122806,7.017543859649122,66.66666666666666
"others
(83 / 847)",7.228915662650602,20.481927710843372,3.614457831325301,1.2048192771084338,3.614457831325301,4.819277108433735,1.2048192771084338,2.4096385542168677,6.024096385542169,0.0,9.63855421686747,39.75903614457832
