,(no book),Using MPI,"Using MPI, MPI: complete Ref",Parallel Programming,MPI: complete Ref,"Parallel Programming, Using MPI","Parallel Programming, Using MPI, MPI: complete Ref",etc.
"overall
(646 / 646)",42.87925696594427,13.003095975232199,8.04953560371517,5.41795665634675,5.108359133126935,4.643962848297214,3.0959752321981426,17.80185758513932
"FR
(86 / 646)",47.674418604651166,16.27906976744186,9.30232558139535,4.651162790697675,9.30232558139535,1.1627906976744187,3.488372093023256,8.13953488372093
"GR
(108 / 646)",47.22222222222222,17.59259259259259,4.62962962962963,4.62962962962963,3.7037037037037033,6.481481481481481,0.0,15.740740740740737
"IT
(46 / 646)",52.17391304347826,6.521739130434782,8.695652173913043,6.521739130434782,4.3478260869565215,4.3478260869565215,2.1739130434782608,15.217391304347828
"UK
(55 / 646)",45.45454545454545,14.545454545454545,9.090909090909092,3.6363636363636362,1.8181818181818181,1.8181818181818181,12.727272727272727,10.909090909090908
"eu
(107 / 646)",47.66355140186916,12.149532710280374,7.476635514018691,4.672897196261682,5.607476635514018,5.607476635514018,2.803738317757009,14.01869158878505
"JP
(51 / 646)",23.52941176470588,15.686274509803921,11.76470588235294,9.803921568627452,5.88235294117647,7.8431372549019605,0.0,25.49019607843137
"RU
(71 / 646)",50.70422535211267,9.859154929577464,0.0,4.225352112676056,2.8169014084507045,0.0,0.0,32.394366197183096
"US
(52 / 646)",25.0,15.384615384615385,26.923076923076923,1.9230769230769231,5.769230769230769,5.769230769230769,11.538461538461538,7.6923076923076925
"others
(70 / 646)",34.285714285714285,5.714285714285714,2.857142857142857,10.0,5.714285714285714,8.571428571428571,0.0,32.85714285714285
