,"OMPI, Intel","MPICH, OMPI, Intel",OMPI,"MPICH, OMPI","MPICH, OMPI, MVA, Intel","MPICH, OMPI, MVA",etc.
"overall
(847 / 847)",14.87603305785124,10.979929161747345,10.743801652892563,8.146399055489963,4.132231404958678,3.0696576151121606,48.05194805194792
"FR
(123 / 847)",21.951219512195124,15.447154471544716,7.317073170731707,10.569105691056912,2.4390243902439024,2.4390243902439024,39.83739837398373
"GR
(159 / 847)",15.723270440251572,11.949685534591195,8.176100628930817,5.660377358490567,4.40251572327044,2.515723270440252,51.57232704402513
"IT
(57 / 847)",29.82456140350877,10.526315789473683,17.543859649122805,7.017543859649122,7.017543859649122,1.7543859649122806,26.31578947368421
"UK
(67 / 847)",8.955223880597014,19.402985074626866,5.970149253731343,5.970149253731343,2.9850746268656714,11.940298507462686,44.77611940298506
"eu
(144 / 847)",14.583333333333334,12.5,12.5,9.027777777777777,3.4722222222222223,2.083333333333333,45.8333333333333
"JP
(64 / 847)",4.6875,3.125,7.8125,4.6875,7.8125,0.0,71.875
"RU
(93 / 847)",18.27956989247312,7.526881720430108,13.978494623655912,10.75268817204301,4.301075268817205,4.301075268817205,40.860215053763454
"US
(58 / 847)",3.4482758620689653,6.896551724137931,10.344827586206897,6.896551724137931,3.4482758620689653,5.172413793103448,63.793103448275886
"others
(82 / 847)",9.75609756097561,6.097560975609756,15.853658536585366,10.975609756097562,3.6585365853658534,0.0,53.65853658536584
