,"Online docs, Internet","MPI standard, Online docs, Internet",Online docs,MPI standard,Internet,"Online docs, Colleagues, Internet","MPI standard, Online docs","MPI standard, Internet","MPI standard, Online docs, Colleagues, Internet",etc.
"overall
(842 / 842)",17.102137767220903,13.064133016627078,8.907363420427554,8.669833729216151,7.244655581947744,6.294536817102138,5.581947743467933,4.394299287410926,4.275534441805226,24.465558194774328
"FR
(124 / 842)",20.967741935483872,8.870967741935484,11.29032258064516,5.64516129032258,7.258064516129033,5.64516129032258,6.451612903225806,2.4193548387096775,6.451612903225806,24.999999999999986
"GR
(157 / 842)",11.464968152866243,19.10828025477707,1.910828025477707,14.64968152866242,2.547770700636943,8.9171974522293,7.643312101910828,6.369426751592357,5.095541401273886,22.292993630573257
"IT
(57 / 842)",21.052631578947366,14.035087719298245,12.280701754385964,8.771929824561402,7.017543859649122,7.017543859649122,5.263157894736842,5.263157894736842,1.7543859649122806,17.543859649122805
"UK
(66 / 842)",22.727272727272727,9.090909090909092,12.121212121212121,1.5151515151515151,9.090909090909092,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,33.333333333333336
"eu
(141 / 842)",19.148936170212767,14.184397163120568,9.219858156028367,4.964539007092199,8.51063829787234,10.638297872340425,4.964539007092199,5.673758865248227,4.964539007092199,17.73049645390071
"JP
(64 / 842)",14.0625,10.9375,12.5,9.375,12.5,1.5625,6.25,7.8125,3.125,21.875
"RU
(93 / 842)",16.129032258064516,15.053763440860216,4.301075268817205,11.827956989247312,6.451612903225806,4.301075268817205,3.225806451612903,2.1505376344086025,6.451612903225806,30.107526881720435
"US
(58 / 842)",15.517241379310345,8.620689655172415,13.793103448275861,12.068965517241379,3.4482758620689653,3.4482758620689653,6.896551724137931,5.172413793103448,3.4482758620689653,27.58620689655173
"others
(82 / 842)",15.853658536585366,10.975609756097562,12.195121951219512,7.317073170731707,12.195121951219512,4.878048780487805,4.878048780487805,1.2195121951219512,0.0,30.487804878048777
