,"Dynamic process, Persistent, PMPI",PMPI,Persistent,"Persistent, PMPI","Dynamic process, Persistent",Dynamic process,"Dynamic process, PMPI","One-sided, Dynamic process, Persistent, PMPI",etc.
"overall
(704 / 704)",17.897727272727273,11.931818181818182,9.232954545454545,8.806818181818182,6.107954545454546,5.3977272727272725,4.545454545454546,4.261363636363636,31.818181818181777
"FR
(103 / 704)",12.62135922330097,13.592233009708737,6.796116504854369,6.796116504854369,4.854368932038835,8.737864077669903,7.766990291262135,4.854368932038835,33.98058252427185
"GR
(131 / 704)",25.190839694656486,15.267175572519085,12.213740458015266,6.870229007633588,6.106870229007633,6.106870229007633,4.580152671755725,1.5267175572519083,22.137404580152662
"IT
(52 / 704)",30.76923076923077,9.615384615384617,5.769230769230769,0.0,11.538461538461538,1.9230769230769231,3.8461538461538463,7.6923076923076925,28.846153846153847
"UK
(58 / 704)",15.517241379310345,10.344827586206897,18.96551724137931,6.896551724137931,8.620689655172415,0.0,5.172413793103448,5.172413793103448,29.310344827586214
"eu
(119 / 704)",19.327731092436977,10.084033613445378,7.563025210084033,8.403361344537815,5.88235294117647,6.722689075630252,2.5210084033613445,8.403361344537815,31.092436974789926
"JP
(50 / 704)",12.0,10.0,16.0,12.0,12.0,6.0,0.0,2.0,30.0
"RU
(86 / 704)",16.27906976744186,12.790697674418606,3.488372093023256,17.441860465116278,2.3255813953488373,2.3255813953488373,3.488372093023256,3.488372093023256,38.37209302325579
"US
(33 / 704)",9.090909090909092,15.151515151515152,6.0606060606060606,9.090909090909092,6.0606060606060606,9.090909090909092,15.151515151515152,0.0,30.303030303030308
"others
(72 / 704)",12.5,8.333333333333332,8.333333333333332,11.11111111111111,2.7777777777777777,5.555555555555555,2.7777777777777777,2.7777777777777777,45.8333333333333
