,"Pt2Pt, Coll, Comm Ops, Datatypes, w/ OMP","Pt2Pt, Coll, Comm Ops, Datatypes","Pt2Pt, Coll, Datatypes","Pt2Pt, Coll, Datatypes, w/ OMP","Pt2Pt, Coll","Pt2Pt, Coll, Comm Ops, Datatypes, One-sided, w/ OMP","Pt2Pt, Coll, w/ OMP",w/ OMP,"Pt2Pt, Coll, Datatypes, One-sided, w/ OMP","Pt2Pt, Coll, Comm Ops",etc.
"overall
(831 / 831)",10.108303249097473,6.859205776173286,6.738868832731648,6.4981949458483745,6.137184115523466,5.294825511432009,4.452466907340553,3.6101083032490973,3.489771359807461,3.0084235860409145,43.802647412755654
"FR
(118 / 831)",15.254237288135593,5.932203389830509,5.932203389830509,11.016949152542372,5.932203389830509,3.389830508474576,4.23728813559322,1.694915254237288,2.5423728813559325,5.084745762711865,38.98305084745761
"GR
(155 / 831)",10.32258064516129,7.096774193548387,7.096774193548387,3.870967741935484,4.516129032258064,1.935483870967742,4.516129032258064,0.6451612903225806,3.870967741935484,5.161290322580645,50.967741935483936
"IT
(57 / 831)",7.017543859649122,8.771929824561402,12.280701754385964,7.017543859649122,1.7543859649122806,7.017543859649122,3.508771929824561,3.508771929824561,1.7543859649122806,1.7543859649122806,45.614035087719294
"UK
(63 / 831)",15.873015873015872,6.349206349206349,6.349206349206349,9.523809523809524,7.936507936507936,6.349206349206349,4.761904761904762,0.0,12.698412698412698,1.5873015873015872,28.57142857142858
"eu
(141 / 831)",9.219858156028367,9.929078014184398,5.673758865248227,7.092198581560284,2.127659574468085,4.964539007092199,4.25531914893617,5.673758865248227,2.8368794326241136,2.8368794326241136,45.39007092198577
"JP
(64 / 831)",7.8125,0.0,0.0,7.8125,9.375,12.5,6.25,1.5625,1.5625,3.125,50.0
"RU
(92 / 831)",9.782608695652174,5.434782608695652,8.695652173913043,5.434782608695652,13.043478260869565,3.260869565217391,5.434782608695652,6.521739130434782,3.260869565217391,2.1739130434782608,36.95652173913044
"US
(58 / 831)",5.172413793103448,8.620689655172415,1.7241379310344827,3.4482758620689653,6.896551724137931,10.344827586206897,3.4482758620689653,1.7241379310344827,1.7241379310344827,1.7241379310344827,55.172413793103466
"others
(83 / 831)",7.228915662650602,7.228915662650602,12.048192771084338,3.614457831325301,7.228915662650602,6.024096385542169,3.614457831325301,10.843373493975903,2.4096385542168677,0.0,39.75903614457833
