,never used,No idea,MULTIPLE,"SINGLE, MULTIPLE",SINGLE,FUNNELED,"SINGLE, FUNNELED, SERIALIZED, MULTIPLE","SINGLE, FUNNELED",etc.
"overall
(830 / 830)",28.19277108433735,17.2289156626506,11.686746987951807,8.433734939759036,7.1084337349397595,4.337349397590361,4.096385542168675,3.3734939759036147,15.542168674698795
"FR
(120 / 830)",20.0,11.666666666666666,15.0,9.166666666666666,5.833333333333333,4.166666666666666,7.5,6.666666666666667,20.0
"GR
(152 / 830)",26.31578947368421,19.078947368421055,12.5,11.18421052631579,7.894736842105263,2.631578947368421,5.921052631578947,4.605263157894736,9.868421052631577
"IT
(57 / 830)",26.31578947368421,22.807017543859647,12.280701754385964,5.263157894736842,10.526315789473683,8.771929824561402,3.508771929824561,1.7543859649122806,8.771929824561402
"UK
(66 / 830)",30.303030303030305,12.121212121212121,10.606060606060606,6.0606060606060606,7.575757575757576,1.5151515151515151,12.121212121212121,4.545454545454546,15.151515151515152
"eu
(139 / 830)",28.776978417266186,17.985611510791365,10.79136690647482,9.352517985611511,7.913669064748201,7.913669064748201,0.7194244604316548,2.158273381294964,14.388489208633098
"JP
(64 / 830)",29.6875,17.1875,14.0625,3.125,1.5625,6.25,1.5625,4.6875,21.875
"RU
(93 / 830)",41.935483870967744,21.50537634408602,5.376344086021505,9.67741935483871,2.1505376344086025,3.225806451612903,0.0,1.0752688172043012,15.053763440860216
"US
(58 / 830)",24.137931034482758,8.620689655172415,13.793103448275861,10.344827586206897,8.620689655172415,1.7241379310344827,5.172413793103448,0.0,27.586206896551722
"others
(81 / 830)",28.39506172839506,22.22222222222222,11.11111111111111,6.172839506172839,12.345679012345679,2.4691358024691357,1.2345679012345678,2.4691358024691357,13.580246913580247
