,No obstacles,Too many routines,No appropriate one,Nobody to ask,Complicated,Dislike API,etc.
"overall
(803 / 803)",37.60896637608966,11.581569115815691,6.973848069738481,5.85305105853051,5.72851805728518,3.23785803237858,29.01618929016176
"FR
(118 / 803)",40.67796610169492,12.711864406779661,6.779661016949152,1.694915254237288,5.084745762711865,2.5423728813559325,30.508474576271176
"GR
(149 / 803)",37.58389261744966,12.751677852348994,4.026845637583892,8.053691275167784,4.697986577181208,4.026845637583892,28.859060402684552
"IT
(54 / 803)",37.03703703703704,14.814814814814813,5.555555555555555,7.4074074074074066,5.555555555555555,3.7037037037037033,25.92592592592592
"UK
(62 / 803)",30.64516129032258,6.451612903225806,3.225806451612903,9.67741935483871,6.451612903225806,1.6129032258064515,41.93548387096772
"eu
(131 / 803)",41.98473282442748,10.687022900763358,9.16030534351145,3.816793893129771,3.0534351145038165,5.343511450381679,25.954198473282425
"JP
(63 / 803)",30.158730158730158,20.634920634920633,11.11111111111111,0.0,9.523809523809524,3.1746031746031744,25.396825396825403
"RU
(92 / 803)",43.47826086956522,8.695652173913043,8.695652173913043,11.956521739130435,5.434782608695652,1.0869565217391304,20.652173913043473
"US
(54 / 803)",44.44444444444444,11.11111111111111,1.8518518518518516,5.555555555555555,0.0,3.7037037037037033,33.33333333333333
"others
(80 / 803)",26.25,7.5,11.25,5.0,13.750000000000002,2.5,33.75
