,OMP,No,"OMP, CUDA","OMP, Pthread","OMP, Pthread, CUDA",etc.
"overall
(828 / 828)",32.608695652173914,22.946859903381643,11.352657004830919,7.246376811594203,4.3478260869565215,21.497584541062842
"FR
(119 / 828)",31.092436974789916,20.168067226890756,3.361344537815126,11.76470588235294,4.201680672268908,29.411764705882362
"GR
(156 / 828)",39.743589743589745,26.282051282051285,5.769230769230769,8.333333333333332,5.769230769230769,14.102564102564099
"IT
(54 / 828)",35.18518518518518,35.18518518518518,16.666666666666664,1.8518518518518516,0.0,11.111111111111109
"UK
(65 / 828)",33.84615384615385,20.0,9.230769230769232,16.923076923076923,1.5384615384615385,18.461538461538463
"eu
(140 / 828)",30.714285714285715,20.0,15.714285714285714,5.0,2.857142857142857,25.714285714285722
"JP
(64 / 828)",39.0625,12.5,10.9375,6.25,6.25,25.0
"RU
(91 / 828)",29.67032967032967,27.472527472527474,19.78021978021978,2.197802197802198,4.395604395604396,16.483516483516482
"US
(57 / 828)",24.561403508771928,8.771929824561402,15.789473684210526,8.771929824561402,10.526315789473683,31.57894736842105
"others
(82 / 828)",25.609756097560975,32.926829268292686,12.195121951219512,3.6585365853658534,3.6585365853658534,21.951219512195117
