,No investigation,Framework,PGAS,"Framework, PGAS","Framework, DSL",etc.
"overall
(812 / 812)",48.52216748768473,20.44334975369458,6.896551724137931,5.172413793103448,3.201970443349754,15.763546798029578
"FR
(116 / 812)",43.96551724137931,22.413793103448278,6.896551724137931,3.4482758620689653,4.310344827586207,18.965517241379313
"GR
(153 / 812)",54.90196078431373,18.30065359477124,5.88235294117647,3.2679738562091507,1.9607843137254901,15.686274509803917
"IT
(52 / 812)",57.692307692307686,19.230769230769234,3.8461538461538463,1.9230769230769231,0.0,17.307692307692307
"UK
(63 / 812)",44.44444444444444,9.523809523809524,4.761904761904762,14.285714285714285,9.523809523809524,17.46031746031746
"eu
(139 / 812)",51.07913669064749,17.26618705035971,8.633093525179856,6.474820143884892,3.597122302158273,12.949640287769787
"JP
(64 / 812)",31.25,18.75,12.5,10.9375,4.6875,21.875
"RU
(92 / 812)",50.0,30.434782608695656,8.695652173913043,1.0869565217391304,3.260869565217391,6.521739130434783
"US
(55 / 812)",40.0,18.181818181818183,5.454545454545454,7.2727272727272725,1.8181818181818181,27.272727272727266
"others
(78 / 812)",53.84615384615385,28.205128205128204,3.8461538461538463,2.564102564102564,0.0,11.538461538461537
