,MPI provides all,Additional opt,Resilience,Latency hiding,Another API,End-points,"Resilience, Additional opt",etc.
"overall
(733 / 733)",31.923601637107772,9.822646657571624,8.321964529331515,8.321964529331515,7.639836289222374,4.502046384720328,3.956343792633015,25.511596180081813
"FR
(104 / 733)",25.961538461538463,11.538461538461538,11.538461538461538,9.615384615384617,9.615384615384617,2.8846153846153846,1.9230769230769231,26.923076923076906
"GR
(135 / 733)",40.0,8.88888888888889,10.37037037037037,6.666666666666667,4.444444444444445,2.9629629629629632,5.185185185185185,21.481481481481477
"IT
(48 / 733)",39.58333333333333,6.25,8.333333333333332,8.333333333333332,10.416666666666668,10.416666666666668,6.25,10.416666666666664
"UK
(57 / 733)",38.59649122807017,3.508771929824561,7.017543859649122,0.0,5.263157894736842,3.508771929824561,3.508771929824561,38.59649122807017
"eu
(117 / 733)",26.495726495726498,7.6923076923076925,4.273504273504273,12.82051282051282,8.547008547008547,2.564102564102564,7.6923076923076925,29.914529914529925
"JP
(60 / 733)",18.333333333333332,11.666666666666666,8.333333333333332,11.666666666666666,11.666666666666666,6.666666666666667,1.6666666666666667,30.000000000000004
"RU
(86 / 733)",48.837209302325576,9.30232558139535,8.13953488372093,6.976744186046512,6.976744186046512,2.3255813953488373,2.3255813953488373,15.116279069767444
"US
(52 / 733)",23.076923076923077,5.769230769230769,7.6923076923076925,7.6923076923076925,3.8461538461538463,7.6923076923076925,5.769230769230769,38.46153846153845
"others
(74 / 733)",21.62162162162162,21.62162162162162,8.108108108108109,8.108108108108109,9.45945945945946,8.108108108108109,0.0,22.97297297297297
