,No,Dynamic process,"Topologies, Dynamic process",One-sided,"One-sided, Dynamic process",etc.
"overall
(745 / 745)",41.20805369127517,16.10738255033557,4.429530201342282,4.026845637583892,3.3557046979865772,30.87248322147646
"FR
(106 / 745)",32.075471698113205,14.150943396226415,7.547169811320755,4.716981132075472,3.7735849056603774,37.73584905660378
"GR
(136 / 745)",41.17647058823529,14.705882352941178,4.411764705882353,5.88235294117647,2.941176470588235,30.88235294117645
"IT
(51 / 745)",50.98039215686274,17.647058823529413,3.9215686274509802,0.0,1.9607843137254901,25.49019607843137
"UK
(61 / 745)",49.18032786885246,19.672131147540984,4.918032786885246,1.639344262295082,4.918032786885246,19.672131147540988
"eu
(123 / 745)",39.83739837398374,16.260162601626014,4.878048780487805,2.4390243902439024,4.878048780487805,31.707317073170728
"JP
(61 / 745)",31.147540983606557,14.754098360655737,1.639344262295082,6.557377049180328,3.278688524590164,42.62295081967214
"RU
(85 / 745)",40.0,18.823529411764707,2.3529411764705883,4.705882352941177,3.5294117647058822,30.588235294117638
"US
(49 / 745)",32.6530612244898,22.448979591836736,6.122448979591836,2.0408163265306123,4.081632653061225,32.653061224489804
"others
(73 / 745)",58.9041095890411,10.95890410958904,2.73972602739726,5.47945205479452,0.0,21.91780821917808
