,"C(++), Py",C(++),"C(++), >=F90, Py","C(++), >=F90",>=F90,">=F90, Py","C(++), <F90, >=F90",etc.
"overall
(850 / 850)",20.941176470588236,20.588235294117645,10.588235294117647,7.1764705882352935,6.588235294117648,4.588235294117647,3.882352941176471,25.647058823529377
"FR
(125 / 850)",20.0,18.4,15.2,6.4,10.4,4.8,4.0,20.800000000000008
"GR
(159 / 850)",27.67295597484277,18.238993710691823,9.433962264150944,7.547169811320755,8.176100628930817,5.031446540880504,3.1446540880503147,20.754716981132077
"IT
(57 / 850)",14.035087719298245,21.052631578947366,12.280701754385964,7.017543859649122,8.771929824561402,7.017543859649122,1.7543859649122806,28.07017543859649
"UK
(67 / 850)",10.44776119402985,14.925373134328357,17.91044776119403,5.970149253731343,7.462686567164178,7.462686567164178,2.9850746268656714,32.835820895522374
"eu
(144 / 850)",21.52777777777778,17.36111111111111,13.88888888888889,9.027777777777777,4.861111111111112,7.638888888888889,1.3888888888888888,24.30555555555554
"JP
(64 / 850)",18.75,28.125,9.375,9.375,4.6875,1.5625,4.6875,23.4375
"RU
(94 / 850)",28.723404255319153,25.53191489361702,2.127659574468085,4.25531914893617,3.1914893617021276,0.0,9.574468085106384,26.595744680851052
"US
(58 / 850)",12.068965517241379,24.137931034482758,10.344827586206897,3.4482758620689653,3.4482758620689653,3.4482758620689653,10.344827586206897,32.758620689655174
"others
(82 / 850)",20.73170731707317,24.390243902439025,3.6585365853658534,9.75609756097561,6.097560975609756,2.4390243902439024,0.0,32.92682926829268
