,Apps,Tools,"Apps, Tools","Apps, Parralelize, Tuning, Debug","Apps, Parralelize",OS/R,"Apps, Parralelize, Tuning","Apps, Tuning",etc.
"overall
(847 / 847)",32.467532467532465,5.076741440377805,4.8406139315230226,4.7225501770956315,4.368358913813459,4.368358913813459,3.659976387249114,3.541912632821724,36.953955135773214
"FR
(125 / 847)",36.0,4.8,4.0,5.6000000000000005,4.0,4.0,1.6,4.0,35.99999999999999
"GR
(159 / 847)",31.446540880503143,7.547169811320755,5.660377358490567,6.918238993710692,3.1446540880503147,1.8867924528301887,2.515723270440252,4.40251572327044,36.47798742138364
"IT
(56 / 847)",41.07142857142857,7.142857142857142,3.571428571428571,3.571428571428571,5.357142857142857,0.0,5.357142857142857,1.7857142857142856,32.14285714285713
"UK
(66 / 847)",19.696969696969695,6.0606060606060606,4.545454545454546,7.575757575757576,1.5151515151515151,1.5151515151515151,6.0606060606060606,4.545454545454546,48.48484848484849
"eu
(144 / 847)",37.5,5.555555555555555,4.861111111111112,4.861111111111112,4.861111111111112,2.083333333333333,5.555555555555555,3.4722222222222223,31.24999999999997
"JP
(64 / 847)",21.875,6.25,3.125,3.125,3.125,18.75,4.6875,3.125,35.9375
"RU
(93 / 847)",35.483870967741936,1.0752688172043012,7.526881720430108,1.0752688172043012,9.67741935483871,2.1505376344086025,1.0752688172043012,4.301075268817205,37.63440860215054
"US
(57 / 847)",17.543859649122805,7.017543859649122,5.263157894736842,0.0,5.263157894736842,8.771929824561402,1.7543859649122806,3.508771929824561,50.87719298245614
"others
(83 / 847)",39.75903614457831,0.0,3.614457831325301,6.024096385542169,2.4096385542168677,7.228915662650602,6.024096385542169,1.2048192771084338,33.73493975903615
