,Europe:France,Europe:Germany,Europe:Italy,Europe:UK,Europe:others,Japan,Russia,USA,etc
2019-02-17,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
2019-02-18,2.0,3.0,2.0,1.0,2.0,4.0,0.0,8.0,5.0
2019-02-19,2.0,3.0,2.0,4.0,2.0,5.0,0.0,10.0,7.0
2019-02-20,2.0,3.0,2.0,5.0,6.0,5.0,0.0,12.0,7.0
2019-02-21,3.0,5.0,2.0,7.0,9.0,14.0,4.0,18.0,10.0
2019-02-22,3.0,5.0,2.0,7.0,11.0,17.0,4.0,20.0,10.0
2019-02-23,3.0,5.0,2.0,7.0,11.0,17.0,4.0,21.0,10.0
2019-02-24,3.0,5.0,2.0,7.0,11.0,17.0,5.0,21.0,10.0
2019-02-25,3.0,9.0,2.0,8.0,11.0,18.0,7.0,21.0,10.0
2019-02-26,3.0,9.0,2.0,8.0,11.0,18.0,67.0,21.0,10.0
2019-02-27,31.0,9.0,2.0,9.0,16.0,30.0,83.0,21.0,16.0
2019-02-28,66.0,11.0,3.0,9.0,21.0,33.0,89.0,27.0,43.0
2019-03-01,78.0,12.0,3.0,9.0,21.0,35.0,90.0,27.0,46.0
2019-03-02,80.0,12.0,3.0,9.0,21.0,35.0,91.0,27.0,46.0
2019-03-04,100.0,12.0,3.0,9.0,22.0,35.0,91.0,27.0,48.0
2019-03-05,104.0,12.0,3.0,9.0,22.0,35.0,91.0,27.0,48.0
2019-03-06,105.0,12.0,3.0,9.0,22.0,35.0,91.0,28.0,48.0
2019-03-07,106.0,12.0,3.0,9.0,22.0,35.0,91.0,29.0,49.0
2019-03-08,108.0,12.0,3.0,9.0,22.0,35.0,91.0,30.0,49.0
2019-03-09,108.0,12.0,3.0,9.0,22.0,35.0,91.0,32.0,49.0
2019-03-13,109.0,12.0,3.0,9.0,22.0,35.0,91.0,32.0,49.0
2019-03-14,109.0,12.0,3.0,9.0,22.0,35.0,92.0,32.0,49.0
2019-03-15,110.0,13.0,3.0,9.0,22.0,35.0,92.0,32.0,49.0
2019-03-18,110.0,15.0,3.0,9.0,22.0,45.0,93.0,33.0,50.0
2019-03-19,110.0,15.0,3.0,9.0,22.0,48.0,93.0,34.0,51.0
2019-03-20,110.0,15.0,3.0,9.0,22.0,49.0,93.0,34.0,54.0
2019-03-21,110.0,15.0,3.0,9.0,22.0,49.0,93.0,34.0,56.0
2019-03-22,110.0,15.0,3.0,9.0,22.0,49.0,93.0,35.0,56.0
2019-03-25,110.0,15.0,3.0,9.0,22.0,50.0,93.0,35.0,56.0
2019-03-27,110.0,15.0,3.0,9.0,24.0,50.0,93.0,35.0,56.0
2019-03-28,110.0,16.0,3.0,9.0,24.0,51.0,93.0,36.0,56.0
2019-04-01,118.0,79.0,14.0,26.0,46.0,51.0,93.0,38.0,59.0
2019-04-02,121.0,113.0,18.0,46.0,70.0,51.0,94.0,50.0,62.0
2019-04-03,123.0,126.0,18.0,49.0,72.0,51.0,94.0,50.0,62.0
2019-04-04,123.0,128.0,18.0,51.0,74.0,51.0,94.0,50.0,62.0
